data_iniSE,casos,umidmed,tempmed
2015-08-16,11,71.2739908571429,24.2462948571429
2015-08-23,5,72.2026885714286,24.7179692857143
2015-08-30,5,70.5063771428571,24.666454
2015-09-06,4,72.8220328571429,25.2074921428571
2015-09-13,0,70.8057285714286,25.3640422857143
2015-09-20,3,70.0625,25.7857142857143
2015-09-27,1,70.8660714285714,25.8883928571429
2015-10-04,0,70.5660385714286,26.0537591428571
2015-10-11,0,66.4513242857143,26.6923961428571
2015-10-18,1,68.2241592857143,26.8843452857143
2015-10-25,0,67.5125285714286,26.9114344285714
2015-11-01,0,67.490625,27.195572875
2015-11-08,2,66.1116071428571,27.2142857142857
2015-11-15,4,72.06873,27.4336104285714
2015-11-22,1,72.2767857142857,27.6684908571429
2015-11-29,0,71.6357917142857,27.1692205714286
2015-12-06,5,77.8780422857143,26.5711567142857
2015-12-13,1,77.172122,25.686508
2015-12-20,0,71.1857118571429,26.5650788571429
2015-12-27,1,72.9195464285714,26.6177032857143
2016-01-03,3,80.2885308571429,26.160778
2016-01-10,2,81.4736571428571,26.2054534285714
2016-01-17,1,82.8487105714286,24.956845
2016-01-24,0,79.5823407142857,26.2782737142857
2016-01-31,7,68.9739257142857,27.9754224285714
2016-02-07,15,67.2182542857143,28.3427578571429
2016-02-14,28,77.8387091428571,26.674603
2016-02-21,39,76.7348948571429,27.1985478571429
2016-02-28,42,75.7392857142857,27.24724
2016-03-06,28,71.3368511428571,27.2800322857143
2016-03-13,22,69.1237822857143,27.5296265714286
2016-03-20,10,72.8890417142857,27.5333602857143
2016-03-27,6,76.1015962857143,26.755682
2016-04-03,6,75.5478908571429,27.0495131428571
2016-04-10,7,68.4621858571429,27.8988775714286
2016-04-17,4,67.8887477142857,26.8722797142857
2016-04-24,6,73.4446808571429,26.1008992857143
2016-05-01,0,81.2258397142857,25.0068544285714
2016-05-08,8,70.2577102857143,25.9618505714286
2016-05-15,5,80.9021911428571,24.6826877142857
2016-05-22,0,78.288798,25.2827108571429
2016-05-29,3,81.878928,24.1885207142857
2016-06-05,8,84.616882,24.1810062857143
2016-06-12,2,71.2029211428572,24.9235662857143
2016-06-19,3,72.1095228571428,24.8913417142857
2016-06-26,2,71.8039475714286,24.4750104285714
2016-07-03,0,76.8825477142857,24.1694808571429
2016-07-10,0,75.4796621428571,23.1550328571429
2016-07-17,0,75.1935868571429,23.9492697142857
2016-07-24,1,70.3403242857143,24.4462035714286
2016-07-31,1,71.155168,24.1984574285714
2016-08-07,0,75.0710217142857,22.9504874285714
2016-08-14,1,78.3603885714286,23.2589285714286
2016-08-21,2,77.7303834285714,23.6492808571429
2016-08-28,3,75.1229294285714,23.946298
2016-09-04,5,67.8265697142857,24.3530845714286
2016-09-11,1,75.9409091428571,24.0438311428571
2016-09-18,2,78.4789697142857,23.9813994285714
2016-09-25,0,80.6716737142857,24.6964285714286
2016-10-02,0,80.7365251428571,24.8620547142857
2016-10-09,0,77.169238,25.3092531428571
2016-10-16,0,78.998017,24.7504951428571
2016-10-23,0,74.5873011428571,25.0666664285714
2016-10-30,1,76.5196087142857,25.1886088571429
2016-11-06,0,76.8759992857143,25.296286
2016-11-13,5,78.2581284285714,26.0693798571429
2016-11-20,2,81.0576385714286,24.7574405714286
2016-11-27,3,79.1841148571429,25.0636454285714
2016-12-04,2,78.0532821428571,25.7767215714286
2016-12-11,1,76.3169658571429,25.7574405714286
2016-12-18,2,76.408758,25.7372025714286
2016-12-25,0,74.2534724285714,26.1309522857143
2017-01-01,2,73.6007582857143,25.9721425714286
2017-01-08,1,75.2193178571429,25.7078982857143
2017-01-15,0,72.2326391428571,26.0173608571429
2017-01-22,1,71.0982142857143,26.5848214285714
2017-01-29,0,74.2579371428571,26.1220237142857
2017-02-05,2,72.2388734285714,26.606009
2017-02-12,2,71.9588284285714,26.3298612857143
2017-02-19,0,73.3383022857143,26.4192725714286
2017-02-26,0,74.5619778571429,26.4790134285714
2017-03-05,5,70.5985577142857,26.5607501428571
2017-03-12,1,77.1370128571429,25.9348911428571
2017-03-19,0,75.2384914285714,26.7919178571429
2017-03-26,0,78.6465085714286,26.3357954285714
2017-04-02,2,79.3608762857143,25.9771914285714
2017-04-09,0,74.9139694285714,26.7655557142857
